Z Scores,Price,Count,0.038590221,-0.001542183
0.221356154,0.007,25,,
-0.089603455,-0.005,30,,
0.558229063,0.02,7,,
0.299096056,0.01,17,,
-0.27099656,-0.012,28,,
0.117702951,0.003,44,,
0.247269455,0.008,28,,
0.143616252,0.004,37,,
0.169529553,0.005,31,,
0.06587635,0.001,43,,
0.195442853,0.006,34,,
-0.607869469,-0.025,9,,
-0.141430056,-0.007,24,,
0.584142364,0.021,10,,
0.273182755,0.009,32,,
0.247269455,0.008,28,,
-0.400563063,-0.017,18,,
0.713708868,0.026,7,,
0.06587635,0.001,43,,
0.143616252,0.004,37,,
-0.556042867,-0.023,21,,
-1.488921693,-0.059,6,,
-0.400563063,-0.017,18,,
-0.011863552,-0.002,37,,
-0.193256657,-0.009,25,,
0.635968965,0.023,10,,
1.257888183,0.047,3,,
0.532315763,0.019,7,,
-0.530129567,-0.022,17,,
0.06587635,0.001,43,,
0.713708868,0.026,7,,
-0.711522672,-0.029,8,,
0.09178965,0.002,36,,
1.672500994,0.063,5,,
0.402749259,0.014,16,,
-1.38526849,-0.055,4,,
-0.193256657,-0.009,25,,
0.376835958,0.013,13,,
-0.089603455,-0.005,30,,
-0.65969607,-0.027,11,,
2.190767008,0.083,1,,
1.309714784,0.049,5,,
0.376835958,0.013,13,,
-0.556042867,-0.023,21,,
1.361541385,0.051,5,,
0.325009357,0.011,21,,
0.039963049,0,35,,
-1.074308882,-0.043,7,,
0.843275371,0.031,5,,
-1.799881302,-0.071,1,,
-0.322823161,-0.014,24,,
-0.65969607,-0.027,11,,
-0.27099656,-0.012,28,,
-0.763349273,-0.031,11,,
-1.229788686,-0.049,7,,
-0.219169958,-0.01,31,,
0.143616252,0.004,37,,
-0.115516755,-0.006,36,,
1.024668476,0.038,6,,
0.143616252,0.004,37,,
-0.245083259,-0.011,14,,
0.221356154,0.007,25,,
1.309714784,0.049,5,,
0.713708868,0.026,7,,
0.45457586,0.016,16,,
-0.504216266,-0.021,12,,
0.325009357,0.011,21,,
-2.266320714,-0.089,4,,
-0.685609371,-0.028,9,,
